A,B,testcase,cycles
1,8,gemm_block,65972511
1,16,gemm_block,63132795
1,32,gemm_block,62321193
1,64,gemm_block,63841437
1,128,gemm_block,66882519
1,256,gemm_block,72965079
1,512,gemm_block,85130199
1,1024,gemm_block,ERROR
1,2048,gemm_block,ERROR
1,4096,gemm_block,ERROR
2,8,gemm_block,48028959
2,16,gemm_block,30591099
2,32,gemm_block,25521705
2,64,gemm_block,34017885
2,128,gemm_block,51055191
2,256,gemm_block,85130199
2,512,gemm_block,ERROR
2,1024,gemm_block,ERROR
2,2048,gemm_block,ERROR
2,4096,gemm_block,ERROR
4,8,gemm_block,43067871
4,16,gemm_block,25123131
4,32,gemm_block,16150761
4,64,gemm_block,16497459
4,128,gemm_block,16978797
4,256,gemm_block,ERROR
4,512,gemm_block,ERROR
4,1024,gemm_block,ERROR
4,2048,gemm_block,ERROR
4,4096,gemm_block,ERROR
1,8,gemm_ijk,59720164
1,16,gemm_ijk,59720164
1,32,gemm_ijk,61088740
1,64,gemm_ijk,62558692
1,128,gemm_ijk,65650660
1,256,gemm_ijk,71910628
1,512,gemm_ijk,84468580
1,1024,gemm_ijk,ERROR
1,2048,gemm_ijk,ERROR
1,4096,gemm_ijk,ERROR
2,8,gemm_ijk,35763748
2,16,gemm_ijk,36574756
2,32,gemm_ijk,40471396
2,64,gemm_ijk,46604644
2,128,gemm_ijk,59175268
2,256,gemm_ijk,84468580
2,512,gemm_ijk,ERROR
2,1024,gemm_ijk,ERROR
2,2048,gemm_ijk,ERROR
2,4096,gemm_ijk,ERROR
4,8,gemm_ijk,36549412
4,16,gemm_ijk,35332900
4,32,gemm_ijk,36283399
4,64,gemm_ijk,35573767
4,128,gemm_ijk,34609903
4,256,gemm_ijk,ERROR
4,512,gemm_ijk,ERROR
4,1024,gemm_ijk,ERROR
4,2048,gemm_ijk,ERROR
4,4096,gemm_ijk,ERROR
1,8,gemm_ikj,59058916
1,16,gemm_ikj,59261668
1,32,gemm_ikj,59971300
1,64,gemm_ikj,61542628
1,128,gemm_ikj,64761316
1,256,gemm_ikj,71236708
1,512,gemm_ikj,84206500
1,1024,gemm_ikj,ERROR
1,2048,gemm_ikj,ERROR
1,4096,gemm_ikj,ERROR
2,8,gemm_ikj,59458084
2,16,gemm_ikj,35736100
2,32,gemm_ikj,27879460
2,64,gemm_ikj,31022116
2,128,gemm_ikj,47115556
2,256,gemm_ikj,84206500
2,512,gemm_ikj,ERROR
2,1024,gemm_ikj,ERROR
2,2048,gemm_ikj,ERROR
2,4096,gemm_ikj,ERROR
4,8,gemm_ikj,58659748
4,16,gemm_ikj,32504740
4,32,gemm_ikj,19832938
4,64,gemm_ikj,13294186
4,128,gemm_ikj,10024810
4,256,gemm_ikj,ERROR
4,512,gemm_ikj,ERROR
4,1024,gemm_ikj,ERROR
4,2048,gemm_ikj,ERROR
4,4096,gemm_ikj,ERROR
