Testcase,Type,Cycles,Hits,Misses
pc-6,fast,274916,541246,5
pc-6,slow,275238,541246,5
pc-7,fast,284804,539646,1061
pc-7,slow,285446,539646,1061
pc-8,fast,285590,540666,1063
pc-8,slow,887892,407106,67843
pc-9,fast,287162,542706,1067
pc-9,slow,893012,408642,68099
pc-10,fast,290306,546786,1075
pc-10,slow,903252,411714,68611
pc-11,fast,296594,554946,1091
pc-11,slow,923732,417858,69635
pc-12,fast,601298,1109826,2179
pc-12,slow,1855572,835650,139267
pc-13,fast,1210706,2219586,4355
pc-13,slow,3719252,1671234,278531
pc-14,fast,2429522,4439106,8707
pc-14,slow,7446612,3342402,557059
pc-15,fast,4867154,8878146,17411
pc-15,slow,14901332,6684738,1114115
pc-16,fast,9742418,17756226,34819
pc-16,slow,29810772,13369410,2228227
pc-17,fast,19492946,35512386,69635
pc-17,slow,59629652,26738754,4456451
pc-18,fast,38994002,71024706,139267
pc-18,slow,119267412,53477442,8912899
